ID;Kategorie;Name;Beschreibung (Freischaltbedingung);Motiv-Beschreibung;Tier / Rarität;Einsatzorte
B001;Land;Land: Albanien;Freigeschaltet fuer einen dokumentierten Besuch in Albanien (Stempel-/Fotobeleg im Profil).;Bergzacken mit Bruecken-Bogen darunter;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B002;Land;Land: Andorra;Freigeschaltet fuer einen dokumentierten Besuch in Andorra.;Fachwerk-Giebellinie, schlicht;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B003;Land;Land: Armenien;Freigeschaltet fuer einen dokumentierten Besuch in Armenien.;Jurten-Kuppel mit Bergzacken;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B004;Land;Land: Aserbaidschan;Freigeschaltet fuer einen dokumentierten Besuch in Aserbaidschan.;Jurten-Kuppel mit Bergzacken;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B005;Land;Land: Bosnien und Herzegowina;Freigeschaltet fuer einen dokumentierten Besuch.;Bergzacken mit Bruecken-Bogen darunter;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B006;Land;Land: Bulgarien;Freigeschaltet fuer einen dokumentierten Besuch.;Bergzacken mit Bruecken-Bogen darunter;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B007;Land;Land: Daenemark;Freigeschaltet fuer einen dokumentierten Besuch.;Tannenreihe unter stilisierter Mitternachtssonne;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B008;Land;Land: Estland;Freigeschaltet fuer einen dokumentierten Besuch.;Leuchtturm-Silhouette an Duenenlinie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B009;Land;Land: Frankreich;Freigeschaltet fuer einen dokumentierten Besuch.;Eiffelturm-Silhouette, drei schlanke Dreiecksstreben;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B010;Land;Land: Deutschland;Freigeschaltet fuer einen dokumentierten Besuch.;Brandenburger-Tor-Saeulenreihe;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B011;Land;Land: Griechenland;Freigeschaltet fuer einen dokumentierten Besuch.;Parthenon-Saeulen unter Dreiecksgiebel;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B012;Land;Land: Island;Freigeschaltet fuer einen dokumentierten Besuch.;Geysir-Fontaene ueber Basaltsaeulen;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B013;Land;Land: Irland;Freigeschaltet fuer einen dokumentierten Besuch.;Klippen-Silhouette mit Wellenlinie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B014;Land;Land: Italien;Freigeschaltet fuer einen dokumentierten Besuch.;Kolosseum-Bogenreihe, halbrund;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B015;Land;Land: Kosovo;Freigeschaltet fuer einen dokumentierten Besuch.;Bergzacken mit Bruecken-Bogen darunter;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B016;Land;Land: Kroatien;Freigeschaltet fuer einen dokumentierten Besuch.;Stadtmauer-Zinnen ueber Kuestenlinie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B017;Land;Land: Lettland;Freigeschaltet fuer einen dokumentierten Besuch.;Leuchtturm-Silhouette an Duenenlinie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B018;Land;Land: Liechtenstein;Freigeschaltet fuer einen dokumentierten Besuch.;Fachwerk-Giebellinie, schlicht;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B019;Land;Land: Litauen;Freigeschaltet fuer einen dokumentierten Besuch.;Leuchtturm-Silhouette an Duenenlinie;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
B020;Land;Land: Luxemburg;Freigeschaltet fuer einen dokumentierten Besuch.;Fachwerk-Giebellinie, schlicht;je nach Sammelstand;Aufnaeher, Gravur, Stempelfeld, Scratch Map
